id,GSTIN,Business_name,Contact_person,Contact_number,Contact_address,Contact_emailId,Status,Outlet_limit
1,u7iZhX6bWwQosJM,Aaron Haney,Daniel Gillespie,27355,"912 Kathy Rest Apt. 281
Wigginstown, AZ 25488",orivera@yahoo.com,active,3
2,TUHVNryQBJvghhg,Jackie Rocha,Madeline Jones,88854,"11721 Kylie Common Suite 069
Donaldberg, AK 61656",haroldhoffman@hopkins.info,active,5
3,EkBD7mZB6OuZudV,Breanna Barrett,Daniel Clements,60000,"227 Brandt Mission
Port Daniel, MA 97234",davisashley@cunningham-watson.com,active,5
4,p6PzHJnfTpHAYSr,Linda Miller,Reginald Becker,16929,"USNV Valdez
FPO AA 84448",brandivillegas@patterson.com,inactive,9
5,uE6Glosu57SaWzw,Robert Sutton,Pamela Schultz,46409,"553 Hill Spurs
Wileyburgh, CT 06101",yorozco@austin.com,active,6
6,avEXpd3oJJ85TEz,Eric Gillespie,Jessica Price,57273,"679 Jennifer Field
Lake Kristen, FL 54965",melissa45@smith-cook.com,active,5
7,XHFpNd55Bl64z5F,Karen Richardson,Elizabeth Steele,85350,"5648 Ann Mall Apt. 262
Ericaport, CO 73362",rogerfox@yahoo.com,active,5
8,gtjxQQGI6tFkhMB,David Burns,Angela Simmons,29676,"68453 West Way
New Lisa, CA 59018",garciaandrea@stone.com,active,3
9,6NOEgZUbW6jNKmx,Jamie Grant,Gary Rice,57656,"PSC 5713, Box 4161
APO AE 87942",jwatts@gmail.com,inactive,4
10,6CFlHEvrl9ZgEdU,Ashley Dyer,Emily Bentley,35997,"4161 Hines Camp
Markland, TN 73166",penningtondenise@yahoo.com,active,6
11,dvYbm5Mzqt4ohtr,Catherine Bell,Paul Daniels,36997,"507 Sims Grove Suite 190
Marksside, MA 24425",allenjoshua@yahoo.com,active,2
12,na8t20qmgrgWr7S,Brandon Black,Sonya Pierce,55072,"USS Henry
FPO AP 89982",ryan76@gmail.com,active,7
13,H9fFIUgiKCuqXPz,Carlos Mckee,Eric Alvarez,52362,"64989 Christopher Isle Apt. 593
Brianfort, AL 57769",emilywilson@adams.com,active,8
14,BprlCQydUniTP5C,Jamie Martin,David Reid,4731,"027 Butler Canyon Suite 406
South Heatherfurt, UT 38368",hortoncassandra@lopez.com,inactive,8
15,TWd5Ikcg0XuvJb0,Patricia Curtis,Marie Banks,85880,"475 Peterson Roads
West Todd, NY 90078",kellydaniel@robertson.com,inactive,2
16,OAbIU4q0AerPdFk,Susan Bowers,Peter Griffin,57322,"746 Chapman Extension Suite 416
Lake Kenneth, NV 12782",andrewvelasquez@gmail.com,active,10
17,6Kr9O8YAI5o94mP,Dalton Gray,Stacy Williams MD,57827,"7342 Gary Mills
West Vincent, IN 97325",kristingarcia@gmail.com,inactive,3
18,fMlu6Y0tt7rVPFE,Jennifer Rodriguez,Hailey Reed,75794,"6011 Donna Meadows Apt. 286
Lake Robert, OK 37149",hreyes@hotmail.com,active,7
19,zxxLLDTIyl6yGe9,Mr. Thomas Vasquez,Christina Lawrence,2713,"04918 Taylor Shore Suite 383
Lake Elizabethhaven, PA 97737",matthewarmstrong@hopkins.info,active,6
20,1xbqOaIMRa37tVE,Leah Green,Melissa Johnson,66409,"1309 Bennett Cove
North Robert, CT 69456",shawn76@hotmail.com,inactive,6
21,h8J0zO46XY9SEpA,David Sullivan,Michael Lawson,91807,"748 Ellis Plains
Thomaston, UT 69785",heather91@jones-sanchez.net,active,10
22,5OxXxQjSzTFzAAp,Caitlin Carter,Lawrence Silva,90070,"416 Randall Crescent
East Christopher, WY 67447",melanie10@fisher.com,active,10
23,gvgUGEb64FRMxzM,Barbara Horton,Charles Farmer,84890,"067 Jennifer Ferry Apt. 566
East Lisamouth, KY 13257",isaiahfleming@miller.com,active,8
24,RSbrJVrQUOGprjT,Casey Calderon,Kimberly Garcia,48216,"94900 Carr Rue Suite 928
Marybury, CO 87518",michaelhunt@wallace.com,active,10
25,tqbj4vH7zsSRRNL,Katherine Reilly,Nicole Pierce,5279,"398 Douglas Ferry Suite 385
Vasquezland, SC 00579",shawn09@white.info,active,2
26,AWgP2adz7VFoe1w,Charles Lyons,Rachel Clements,65022,"4920 Hall Alley
Stevenfurt, IL 25657",danielgordon@hotmail.com,inactive,4
27,QxmwYdB1ZHxUrxG,Brett Wilson,Danny Williams,98473,"822 Ayala Corner
New William, MI 95726",laurie36@ortiz.com,inactive,8
28,rhUfqVQ46Y0HVl5,Mark Henderson,Chloe Moss,46212,"7300 Chen Glens
West John, CT 72664",kathleenmcbride@warren-johnson.net,active,6
29,umqYs9dayIzfq7H,Arthur West,Grace Hansen,72810,"6358 Jackson Curve
North William, SD 12855",ariasjoseph@porter.com,active,5
30,YayHo349ZwQ05BY,Charles Fitzpatrick,Jerome Brooks,10574,"71158 James Forest Apt. 826
South Regina, PA 05084",ytorres@hotmail.com,active,5
31,wKKQNFiepHwd2pY,Pamela Dickerson,Melissa Turner,38907,"Unit 8230 Box 6506
DPO AE 13515",marshallphillip@brown.com,active,7
32,v5juaX4DZPnXyK9,Adrienne Salas,Cody Richardson,46986,"573 Brian Orchard
Lake David, FL 39359",gibsonjordan@rodriguez-campbell.net,active,4
33,AP90W6ZRXOqRV3r,Amanda Garcia,Donna Schneider,41872,"268 Mills Course
Torresmouth, KS 12966",gbeasley@roach.com,inactive,3
34,JmJuQrPaviophz1,Ethan Wright,Ronald Lawrence,20255,"Unit 2521 Box 8794
DPO AP 67586",kellyeverett@yahoo.com,active,5
35,B5Zyrtu0Pt3E8mt,Beth Robinson,Thomas Thompson,12513,"Unit 8420 Box 0055
DPO AP 59793",awilliamson@freeman.com,inactive,7
36,DOQMG5J9fdxp9JR,Christine Walsh,Nancy Riggs,213,"690 Underwood Crossing
Brittanyview, KY 61690",malik00@gmail.com,inactive,4
